index,Date,Year,Opponent,H/A,Rank,GB,D/N,Attendance
0,"Monday, Mar 31",2008,Baltimore Orioles,@,1,-0.5,D,46807
2,"Wednesday, Apr 2",2008,Baltimore Orioles,@,2,1.0,N,10505
3,"Friday, Apr 4",2008,New York Yankees,@,1,0.0,N,49255
4,"Saturday, Apr 5",2008,New York Yankees,@,1,0.0,D,52247
5,"Sunday, Apr 6",2008,New York Yankees,@,3,1.0,D,51279
6,"Monday, Apr 7",2008,New York Yankees,@,4,2.0,N,41302
7,"Tuesday, Apr 8",2008,Seattle Mariners,,5,3.0,N,36048
8,"Wednesday, Apr 9",2008,Seattle Mariners,,5,3.5,N,12106
9,"Thursday, Apr 10",2008,Seattle Mariners,,4,2.0,D,11898
10,"Friday, Apr 11",2008,Baltimore Orioles,,3,1.0,N,12146
11,"Saturday, Apr 12",2008,Baltimore Orioles,,5,2.0,N,19295
12,"Sunday, Apr 13",2008,Baltimore Orioles,,4,1.0,D,16748
13,"Monday, Apr 14",2008,New York Yankees,,5,2.0,N,18872
14,"Tuesday, Apr 15",2008,New York Yankees,,5,2.5,N,20923
15,"Wednesday, Apr 16",2008,Minnesota Twins,@,5,2.5,N,20209
16,"Thursday, Apr 17",2008,Minnesota Twins,@,5,2.5,N,14781
17,"Friday, Apr 18",2008,Chicago White Sox,,5,3.5,N,12379
18,"Saturday, Apr 19",2008,Chicago White Sox,,5,3.5,N,17613
19,"Sunday, Apr 20",2008,Chicago White Sox,,5,4.5,D,17212
20,"Tuesday, Apr 22",2008,Toronto Blue Jays,,5,5.0,N,8269
21,"Wednesday, Apr 23",2008,Toronto Blue Jays,,4,4.0,N,8989
22,"Thursday, Apr 24",2008,Toronto Blue Jays,,4,3.0,N,9540
23,"Friday, Apr 25",2008,Boston Red Sox,,3,2.0,N,30290
24,"Saturday, Apr 26",2008,Boston Red Sox,,3,1.0,N,36048
25,"Sunday, Apr 27",2008,Boston Red Sox,,1,0.0,D,32363
26,"Tuesday, Apr 29",2008,Baltimore Orioles,@,3,1.5,N,11588
27,"Wednesday, Apr 30",2008,Baltimore Orioles,@,3,1.0,N,11944
29,"Thursday, May 1",2008,Baltimore Orioles,@,1,0.0,D,16456
30,"Friday, May 2",2008,Boston Red Sox,@,3,1.0,N,37541
31,"Saturday, May 3",2008,Boston Red Sox,@,3,2.0,N,37700
32,"Sunday, May 4",2008,Boston Red Sox,@,3,3.0,D,37091
33,"Tuesday, May 6",2008,Toronto Blue Jays,@,2,3.5,N,30397
34,"Wednesday, May 7",2008,Toronto Blue Jays,@,2,3.5,N,19276
35,"Thursday, May 8",2008,Toronto Blue Jays,@,2,3.5,N,21118
36,"Friday, May 9",2008,Los Angeles Angels,,2,2.5,N,12039
37,"Saturday, May 10",2008,Los Angeles Angels,,2,2.5,N,25512
38,"Sunday, May 11",2008,Los Angeles Angels,,2,1.5,D,13010
39,"Monday, May 12",2008,New York Yankees,,2,0.5,N,13932
40,"Tuesday, May 13",2008,New York Yankees,,1,-0.5,N,16558
41,"Wednesday, May 14",2008,New York Yankees,,1,-0.5,N,20936
42,"Thursday, May 15",2008,New York Yankees,,1,-1.0,D,19976
43,"Friday, May 16",2008,St. Louis Cardinals,@,1,-1.5,N,43136
